"Key","Series","Value"
"2021-09-21","XA.CAN.03.03.3008.01.001",3221
"2021-09-22","XA.CAN.03.03.3008.01.001",3217
"2021-09-23","XA.CAN.03.03.3008.01.001",3220
"2021-09-24","XA.CAN.03.03.3008.01.001",3224
"2021-09-25","XA.CAN.03.03.3008.01.001",3226
"2021-09-26","XA.CAN.03.03.3008.01.001",3220
"2021-09-27","XA.CAN.03.03.3008.01.001",3221
"2021-09-28","XA.CAN.03.03.3008.01.001",3220
"2021-09-29","XA.CAN.03.03.3008.01.001",3218
"2021-09-30","XA.CAN.03.03.3008.01.001",3221
"2020-10-01","XA.CAN.03.03.3008.01.002",2755
"2020-10-02","XA.CAN.03.03.3008.01.002",2753
"2020-10-03","XA.CAN.03.03.3008.01.002",2752
"2020-10-04","XA.CAN.03.03.3008.01.002",2750
"2020-10-05","XA.CAN.03.03.3008.01.002",2756
"2020-10-06","XA.CAN.03.03.3008.01.002",2760
"2020-10-07","XA.CAN.03.03.3008.01.002",0
"2020-10-08","XA.CAN.03.03.3008.01.002",2750
"2020-10-09","XA.CAN.03.03.3008.01.002",2759
"2020-10-10","XA.CAN.03.03.3008.01.002",2757
"2020-10-11","XA.CAN.03.03.3008.01.002",2754
"2020-10-12","XA.CAN.03.03.3008.01.002",2757
"2020-10-13","XA.CAN.03.03.3008.01.002",2758
"2020-10-14","XA.CAN.03.03.3008.01.002",2756
"2020-10-15","XA.CAN.03.03.3008.01.002",2755
"2020-10-16","XA.CAN.03.03.3008.01.002",2757
"2020-10-17","XA.CAN.03.03.3008.01.002",2759
"2020-10-18","XA.CAN.03.03.3008.01.002",2757
"2020-10-19","XA.CAN.03.03.3008.01.002",2759
"2020-10-20","XA.CAN.03.03.3008.01.002",2755
"2020-10-21","XA.CAN.03.03.3008.01.002",2755
"2020-10-22","XA.CAN.03.03.3008.01.002",2763
"2020-10-23","XA.CAN.03.03.3008.01.002",2754
"2020-10-24","XA.CAN.03.03.3008.01.002",2755
"2020-10-25","XA.CAN.03.03.3008.01.002",2756
"2020-10-26","XA.CAN.03.03.3008.01.002",2753
"2020-10-27","XA.CAN.03.03.3008.01.002",2763
"2020-10-28","XA.CAN.03.03.3008.01.002",2760
"2020-10-29","XA.CAN.03.03.3008.01.002",2757
"2020-10-30","XA.CAN.03.03.3008.01.002",2760
"2020-10-31","XA.CAN.03.03.3008.01.002",2757
"2020-11-01","XA.CAN.03.03.3008.01.002",2760
"2020-11-02","XA.CAN.03.03.3008.01.002",2757
"2020-11-03","XA.CAN.03.03.3008.01.002",2761
"2020-11-04","XA.CAN.03.03.3008.01.002",2763
"2020-11-05","XA.CAN.03.03.3008.01.002",2754
"2020-11-06","XA.CAN.03.03.3008.01.002",2758
"2020-11-07","XA.CAN.03.03.3008.01.002",2754
"2020-11-08","XA.CAN.03.03.3008.01.002",2757
"2020-11-09","XA.CAN.03.03.3008.01.002",2758
"2020-11-10","XA.CAN.03.03.3008.01.002",2764
"2020-11-11","XA.CAN.03.03.3008.01.002",3316
"2020-11-12","XA.CAN.03.03.3008.01.002",3330
"2020-11-13","XA.CAN.03.03.3008.01.002",3336
"2020-11-14","XA.CAN.03.03.3008.01.002",3326
