Site ID,Class,Subclass,Status,Name,Make,Model,Cabinet,U Position,Slot Position,IP Address,Serial Number,Type,Function,Contact,Contact Team,Customer,Mounting,Form Factor,Created By,Request Number,Request Stage,Created On,Origin,Notes,PowerIQ Object ID,Integration Status,VM Manager,VM Manager Integration Status,VMware Status Update Date,Customer Service,Technical Support,Account Number,Node Code,Planning Expiration
CM Guangzhou,Network,NetworkStack,Installed,G0000952,NOKIA,7750 SR-1s,XA.CAN.02.05.0504.01.001,4,,,NS1945F0190,,,,,,Rackable,Fixed,pei_ye,,,03/23/2020 04:49:51-04,Import,,2504,,,,,,,,504,
CM Wuhan,Network,NetworkStack,Planned,G0000953,Arista Networks,DCS-7060SX2-48YC6-R,XA.WUH.02.02.0205.01.004,26,,,JPE19352949,,,,,,Rackable,Fixed,lu_d_zhang,,,11/25/2020 04:48:40-05,Import,,27123,,,,,,,,205,
DR Peng Guangzhou,Network,NetworkStack,Planned,G0000954,NOKIA,7750 SR-1s,XA.CAN.04.01.MD02.01.001,4,,,NS1947F5956,,,,,,Rackable,Fixed,pei_ye,,,04/13/2020 03:46:55-04,Import,,27303,,,,,,,,MD02,
CU Beijing,Network,NetworkStack,Planned,G0000956,Arista Networks,DCS-7060SX2-48YC6-R,XA.BJS.03.04.L4M2.01.005,26,,,JPE19353066,,,,,,Rackable,Fixed,admin,,,01/29/2020 14:22:48-05,Import,,2101,,,,,,,,L4M2,
CU Beijing,Network,NetworkStack,Planned,G0000957,Arista Networks,DCS-7060SX2-48YC6-R,XA.BJS.03.04.L4M2.01.008,26,,,JPE19352982,,,,,,Rackable,Fixed,admin,,,01/29/2020 14:22:53-05,Import,,2099,,,,,,,,L4M2,
CT Wuhan,Network,NetworkStack,Planned,G0000959,NOKIA,7750 SR-1s,XA.WUH.01.02.0204.01.001,4,,,NS2003F5812,,,,,,Rackable,Fixed,pei_ye,,,01/28/2021 00:30:46-05,Import,,27344,,,,,,,,204,
CM Guangzhou,Network,NetworkStack,Installed,G0000960,Arista Networks,DCS-7280CR2A-30-F,XA.CAN.02.05.0504.01.002,29,,,JPE19440702,,,,,,Rackable,Fixed,pei_ye,,,03/23/2020 05:16:34-04,Import,,2510,,,,,,,,504,
DR Peng Guangzhou,Network,NetworkStack,Planned,G0000961,NOKIA,7750 SR-1s,XA.CAN.04.01.MD02.01.002,4,,,NS1947F5460,,,,,,Rackable,Fixed,pei_ye,,,04/13/2020 03:47:03-04,Import,,27304,,,,,,,,MD02,
CM Wuhan,Network,NetworkStack,Planned,G0000962,NOKIA,7750 SR-1s,XA.WUH.02.02.0205.01.001,4,,,NS1952F5642,,,,,,Rackable,Fixed,lu_d_zhang,,,11/25/2020 04:33:18-05,Import,,27112,,,,,,,,205,
GDS,Network,NetworkStack,Planned,G0000963,NOKIA,7750 SR-1s,XA.CTU.04.03.0301.01.002,4,,,NS1941F0365,,,,,,Rackable,Fixed,lu_d_zhang,,,04/17/2020 04:29:58-04,Import,,27606,,,,,,,,301,
CT Shanghai,Network,NetworkStack,Planned,G0000964,NOKIA,7750 SR-1s,XA.SHA.01.02.B222.01.001,4,,,NS1950F6374,,,,,,Rackable,Fixed,lu_d_zhang,,,01/04/2021 03:42:48-05,Import,,27526,,,,,,,,B222,
CT Chengdu,Network,NetworkStack,Planned,G0000965,NOKIA,7750 SR-1s,XA.CTU.01.01.X1N1.01.002,4,,,NS1952F5677,,,,,,Rackable,Fixed,lu_d_zhang,,,12/21/2020 21:08:05-05,Import,,27475,,,,,,,,X1N1,
CT Beijing,Network,NetworkStack,Planned,G0000968,NOKIA,7750 SR-1s,XA.BJS.01.03.0325.01.002,4,,,NS2002F5349,,,,,,Rackable,Fixed,lu_d_zhang,,,01/29/2021 03:21:41-05,Import,,27423,,,,,,,,325,
DR Peng Beijing,Network,NetworkStack,Planned,G0000970,NOKIA,7750 SR-1s,XA.BJS.04.01.MD09.01.002,4,,,NS1943F0281,,,,,,Rackable,Fixed,admin,,,01/28/2020 15:15:59-05,Import,,28061,,,,,,,,MD09,
CM Beijing,Network,NetworkStack,Planned,G0000971,NOKIA,7750 SR-1s,XA.BJS.02.02.2009.01.001,4,,,NS1935F0109,,,,,,Rackable,Fixed,admin,,,01/28/2020 15:16:00-05,Import,,2279,,,,,,,,2009,
DR Peng Shanghai,Network,NetworkStack,Planned,G0000973,Arista Networks,DCS-7280CR2A-30-F,XA.SHA.04.03.MD10.01.001,15,,,JPE19440632,,,,,,Rackable,Fixed,lu_d_zhang,,,07/16/2020 23:43:33-04,Client,,1885,,,,,,,,MD10,
CM Beijing,Network,NetworkStack,Planned,G0000974,Arista Networks,DCS-7010T-48-F,XA.BJS.02.02.2009.01.002,25,,,JPE19412894,,,,,,Rackable,Fixed,admin,,,01/28/2020 15:16:02-05,Import,,2255,,,,,,,,2009,
DR Peng Beijing,Network,NetworkStack,Planned,G0000975,Arista Networks,DCS-7010T-48-F,XA.BJS.04.01.MD09.01.001,19,,,JPE19412813,,,,,,Rackable,Fixed,admin,,,01/28/2020 15:16:03-05,Import,,28066,,,,,,,,MD09,
DR Peng Guangzhou,Network,NetworkStack,Planned,G0000976,Arista Networks,DCS-7280CR2A-30-F,XA.CAN.04.01.MD02.01.001,29,,,JPE19440697,,,,,,Rackable,Fixed,pei_ye,,,04/13/2020 03:46:43-04,Import,,27299,,,,,,,,MD02,
CU Guangzhou,Network,NetworkStack,Planned,G0000978,NOKIA,7750 SR-1s,XA.CAN.03.03.3008.01.001,4,,,NS1942F0269,,,,,,Rackable,Fixed,admin,,,01/28/2020 15:16:05-05,Import,,1940,,,,,,,,3008,
CU Guangzhou,Network,NetworkStack,Planned,G0000979,NOKIA,7750 SR-1s,XA.CAN.03.03.3008.01.002,4,,,NS1935F0009,,,,,,Rackable,Fixed,admin,,,01/28/2020 15:16:06-05,Import,,1938,,,,,,,,3008,
CU Guangzhou,Network,NetworkStack,Planned,G0000980,PaloAlto Networks,PA-5220,XA.CAN.03.03.3008.01.002,11,,,13201017150,,,,,,Rackable,Fixed,admin,,,01/28/2020 15:16:09-05,Import,,1943,,,,,,,,3008,
